Dates:,CA,TX,FL,NY,PA,IL,OH,GA,NC,MI,NJ,VA,WA,AZ,MA,TN,IN,MO,MD,WI,CO,MN,SC,AL,LA,KY,OR,OK,CT,UT,PR,IA,NV,AR,MS,KS,NM,NE,WV,ID,HI,NH,ME,MT,RI,DE,SD,ND,AK,DC,VT,WY
97,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
98,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
99,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
100,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
101,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
102,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
103,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
104,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
105,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
106,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
107,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
108,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
109,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
110,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
111,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
112,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
113,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
114,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
115,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
116,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
117,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
118,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
119,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
120,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
121,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
122,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
123,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
124,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
125,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
126,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
127,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
128,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
129,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
130,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
131,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
132,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
133,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
134,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
135,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
136,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
137,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
138,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
139,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
140,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
141,39512223.0,28995881.0,21477737.0,19453561.0,12801989.0,12671821.0,11689100.0,10617423.0,10488084.0,9986857.0,8882190.0,8535519.0,7614893.0,7278717.0,6949503.0,6833174.0,6732219.0,6137428.0,6045680.0,5822434.0,5758736.0,5639632.0,5148714.0,4903185.0,4648794.0,4467673.0,4217737.0,3956971.0,3565287.0,3205958.0,3193694.0,3155070.0,3080156.0,3017825.0,2976149.0,2913314.0,2096829.0,1934408.0,1792147.0,1787065.0,1415872.0,1359711.0,1344212.0,1068778.0,1059361.0,973764.0,884659.0,762062.0,731545.0,705749.0,623989.0,578759.0
